epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2381.49,0.89562,0.85116,1.23989,0.88182,0.83488,0.91059,0.65968,1.02956,0.67801,1.46848,0.000236083,0.000236083,0.000236083
72,2415.11,0.87891,0.84319,1.22447,0.86704,0.8657,0.92395,0.66918,1.01957,0.69256,1.43843,0.00022847,0.00022847,0.00022847
73,2449.03,0.90844,0.82455,1.23377,0.86716,0.80722,0.91027,0.65071,1.01379,0.77177,1.42644,0.000220857,0.000220857,0.000220857
74,2482.29,0.91117,0.86777,1.24413,0.85997,0.88454,0.93377,0.65535,1.03369,0.67171,1.45595,0.000213244,0.000213244,0.000213244
75,2515.76,0.87803,0.83581,1.22721,0.863,0.85175,0.90353,0.63349,1.01777,0.71288,1.46157,0.000205631,0.000205631,0.000205631
76,2549.34,0.91381,0.82418,1.2401,0.83387,0.85068,0.89726,0.6286,1.02186,0.72192,1.46605,0.000198018,0.000198018,0.000198018
77,2582.8,0.89025,0.82502,1.22151,0.82714,0.79036,0.88169,0.60893,1.07312,0.80276,1.49611,0.000190404,0.000190404,0.000190404
78,2616.19,0.86946,0.80417,1.21972,0.86768,0.90705,0.93133,0.65423,1.06626,0.65785,1.47718,0.000182791,0.000182791,0.000182791
79,2649.45,0.86409,0.83292,1.22133,0.85388,0.81034,0.9038,0.61854,1.0973,0.73343,1.51596,0.000175178,0.000175178,0.000175178
80,2682.87,0.88541,0.83574,1.23123,0.89422,0.83781,0.90509,0.65059,1.01861,0.70354,1.46309,0.000167565,0.000167565,0.000167565
81,2716.35,0.8797,0.7967,1.21864,0.91631,0.86336,0.92568,0.6562,1.0301,0.67105,1.47373,0.000159952,0.000159952,0.000159952
82,2749.78,0.87087,0.81907,1.22604,0.84614,0.90165,0.91384,0.66113,0.99577,0.65884,1.43624,0.000152339,0.000152339,0.000152339
83,2782.99,0.85392,0.8045,1.21477,0.89841,0.83843,0.91479,0.64609,1.02263,0.67621,1.46155,0.000144726,0.000144726,0.000144726
84,2816.31,0.87479,0.77827,1.21272,0.86933,0.78732,0.89758,0.60538,1.07649,0.76442,1.51796,0.000137113,0.000137113,0.000137113
85,2849.79,0.86879,0.75536,1.21434,0.87111,0.90383,0.92761,0.65685,1.0213,0.66458,1.46558,0.0001295,0.0001295,0.0001295
86,2883.08,0.8394,0.7379,1.20793,0.8955,0.82836,0.90079,0.63816,1.03558,0.67839,1.4841,0.000121887,0.000121887,0.000121887
87,2916.31,0.82841,0.73994,1.19745,0.87121,0.85412,0.90674,0.644,1.02961,0.68204,1.47726,0.000114273,0.000114273,0.000114273
88,2949.65,0.86465,0.77619,1.21668,0.88838,0.8603,0.8979,0.63653,1.04521,0.69015,1.47237,0.00010666,0.00010666,0.00010666
89,2983.16,0.8367,0.73486,1.19566,0.91146,0.87815,0.91292,0.64374,1.03779,0.66574,1.47236,9.90472e-05,9.90472e-05,9.90472e-05
90,3016.43,0.81712,0.7233,1.18457,0.93335,0.85599,0.93544,0.66068,1.03371,0.62391,1.47792,9.14341e-05,9.14341e-05,9.14341e-05
91,3049.99,0.70435,0.57563,1.25269,0.90332,0.86341,0.92436,0.67775,1.00649,0.61747,1.44289,8.3821e-05,8.3821e-05,8.3821e-05
92,3083.97,0.66487,0.51865,1.19728,0.88478,0.87296,0.92185,0.67115,0.98626,0.62269,1.4363,7.62079e-05,7.62079e-05,7.62079e-05
93,3117.19,0.65028,0.46858,1.20089,0.90602,0.85664,0.93218,0.68084,1.00139,0.59167,1.44305,6.85948e-05,6.85948e-05,6.85948e-05
94,3150.95,0.62476,0.46293,1.19445,0.88337,0.8616,0.93064,0.67123,1.00861,0.5951,1.45406,6.09817e-05,6.09817e-05,6.09817e-05
95,3184.14,0.62468,0.432,1.18245,0.93238,0.83144,0.92876,0.66616,1.01321,0.62105,1.47338,5.33686e-05,5.33686e-05,5.33686e-05
96,3217.33,0.63031,0.4591,1.18398,0.91655,0.85342,0.93645,0.67945,0.99539,0.59321,1.45183,4.57555e-05,4.57555e-05,4.57555e-05
97,3250.77,0.62258,0.43384,1.176,0.92936,0.86936,0.93519,0.68407,0.9945,0.57414,1.44035,3.81424e-05,3.81424e-05,3.81424e-05
98,3284.42,0.6093,0.43306,1.17648,0.88902,0.89203,0.93271,0.67258,1.00172,0.60602,1.44727,3.05293e-05,3.05293e-05,3.05293e-05
99,3317.64,0.61621,0.42092,1.17392,0.91825,0.85643,0.93599,0.68194,0.99387,0.58083,1.44787,2.29162e-05,2.29162e-05,2.29162e-05
100,3350.93,0.61253,0.40284,1.17875,0.93871,0.86056,0.94086,0.6815,0.99252,0.56875,1.44466,1.53031e-05,1.53031e-05,1.53031e-05
